timestamp	exp	f1	best_k	n_feat	time_s	notes
2026-03-18 15:28:46	1	0.6486	60	41	213.9	41feat optuna100 lr=0.0244
2026-03-18 17:14:25	2	0.631	80	61	253.3	61feat optuna100 lr=0.0461
2026-03-18 17:21:02	3	0.6429	80	61	379.6	61feat optuna100 lr=0.0146
2026-03-18 17:35:48	4	0.6667	80	53	355.1	53feat optuna100 lr=0.0215
2026-03-18 18:26:14	5	0.6667	80	65	276.1	65feat optuna100 lr=0.0766
2026-03-18 18:34:35	6	0.6667	80	65	350.0	65feat optuna100 lr=0.0619
2026-03-18 18:42:49	7	0.6709	70	58	294.0	58feat optuna100 lr=0.0232
2026-03-18 18:58:17	8	0.6835	70	65	249.8	65feat optuna100 lr=0.0366
2026-03-18 19:41:29	9	0.6582	70	78	431.6	78feat optuna100 lr=0.0175
2026-03-18 19:54:13	10	0.6892	60	69	220.2	69feat optuna100 lr=0.1000
2026-03-18 20:01:53	11	0.6835	70	74	306.0	74feat optuna100 lr=0.0442
2026-03-19 09:50:59	12	0.6582	70	79	321.2	79feat optuna100 lr=0.0319
2026-03-19 10:04:01	13	0.6364	110	71	282.5	71feat optuna100 lr=0.0261
2026-03-19 10:14:57	14	0	0	0	0	GATE_FAIL: no new features in FEATURES list
2026-03-19 10:17:56	15	0.6667	80	64	277.7	64feat optuna100 lr=0.0354
2026-03-19 10:32:14	16	0	0	0	0	GATE_FAIL: no new features in FEATURES list
2026-03-19 10:32:51	17	0.6709	70	69	704.9	69feat optuna200 lr=0.0553
2026-03-19 10:47:06	18	0.6709	70	70	387.6	70feat optuna100 lr=0.0181
2026-03-19 12:25:42	19	0.6582	70	78	373.3	78feat optuna100 lr=0.0253
2026-03-19 12:38:39	20	0.6709	70	68	414.2	68feat optuna100 lr=0.0374
2026-03-19 12:52:48	21	0.6709	70	67	331.5	67feat optuna100 lr=0.0316
2026-03-19 13:10:29	22	0.6429	80	81	350.2	81feat optuna100 lr=0.0226
2026-03-19 13:17:01	23	0	0	0	0	GATE_FAIL: no new features in FEATURES list
2026-03-19 13:23:05	24	0.6835	70	66	383.1	66feat optuna100 lr=0.0284
2026-03-19 14:38:42	25	0.6667	80	87	320.3	87feat optuna100 lr=0.0264
2026-03-19 15:06:52	26	0	0	0	0	GATE_FAIL: no new features in FEATURES list
2026-03-19 15:08:58	27	0.6548	80	97	364.4	97feat optuna100 lr=0.0572
2026-03-19 15:20:47	28	0	0	0	0	GATE_FAIL: no new features in FEATURES list
2026-03-19 15:34:28	29	0.6582	70	114	518.3	114feat optuna100 lr=0.0191
2026-03-19 15:48:19	30	0.6786	80	113	648.5	113feat optuna100 lr=0.0425
2026-03-19 16:08:42	31	0.6582	70	134	396.8	134feat optuna100 lr=0.0630
2026-03-19 17:10:50	32	0.6489	100	128	644.2	128feat optuna100 lr=0.0303
2026-03-19 17:27:02	33	0.6582	70	136	657.6	136feat optuna100 lr=0.0308
2026-03-19 17:45:37	34	0.6835	70	137	763.8	137feat optuna100 lr=0.0465
2026-03-19 18:08:36	35	0.6786	80	69	319.1	69feat optuna100 lr=0.0456
2026-03-19 18:25:43	36	0.6854	90	69	282.0	69/240feat optuna100 lr=0.0705
2026-03-19 18:31:55	37	0.6629	90	175	673.3	175/240feat optuna100 lr=0.0433
2026-03-19 19:23:47	38	0.6548	80	68	313.3	68/85feat optuna100 lr=0.0264
2026-03-19 19:34:44	39	0.6742	90	69	290.9	69/98feat optuna100 lr=0.0532
2026-03-19 19:44:32	40	0.6596	100	69	297.7	69/113feat optuna100 lr=0.0320
2026-03-19 19:55:42	41	0.6667	80	69	351.1	69/113feat optuna100 lr=0.0229
2026-03-19 20:06:47	42	0.6596	100	69	409.4	69/113feat optuna100 lr=0.0166
2026-03-19 20:19:42	43	0.6629	90	69	312.1	69/115feat optuna100 lr=0.0537
2026-03-19 20:30:16	44	0.6629	90	69	342.2	69/116feat optuna100 lr=0.0328
2026-03-20 09:50:56	45	0.6517	90	69	445.7	69/125feat optuna100 lr=0.0224
2026-03-20 10:04:45	46	0.6489	100	69	324.4	69/142feat optuna100 lr=0.0364
2026-03-20 10:16:55	47	0.6582	70	69	348.2	69/142feat optuna100 lr=0.0204
2026-03-20 10:29:05	48	0.6429	80	69	421.7	69/142feat optuna100 lr=0.0190
2026-03-20 10:43:53	49	0.6329	70	69	420.6	69/142feat optuna100 lr=0.0577
2026-03-20 11:02:28	50	0.6629	90	90	439.7	90/157feat optuna100 lr=0.0234
2026-03-20 11:21:03	51	0.6582	70	90	484.1	90/168feat optuna100 lr=0.0206
